sr_no,sector,ministry,project_code,project_name,orig_cost,rev_cost,expenditure,phys_progress,planned_duration_days,project_age_years,elapsed_fraction,progress_gap,cost_utilization,cost_per_progress,sanction_year,sanction_month,size_decile_in_sector,sector_loo_cost_overrun_rate,sector_loo_time_overrun_rate,ministry_loo_cost_overrun_rate,ministry_loo_time_overrun_rate,cost_overrun_pct,cost_overrun_flag,time_overrun_months,time_overrun_flag
1339,Roads & Highways,Ministry of Road Transport & Highways,618232,Rehabilitation and Upgradation to 2-lane configuration of Karnohal- Kalwahn Section km 181.00 to 208.950 of NH-70 in the State of Himachal Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode.Package-2,252,190.02,77.84,58,2094.0,5.69472963723477,0.9933142311365807,41.33142311365806,0.3088888888888889,1.3193220338983052,2020.0,8.0,1.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,-24.59523809523809,0.0,7.588699080157687,1.0
1340,Roads & Highways,Ministry of Road Transport & Highways,618266,Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Bewar- Allahaganj- section of NH-730C Km.0.000 to Km 52.770 pakage-I in state of Uttar Pradesh undergreen national Highway Corridor Project GNHCP with the loan assistance of world Bank on EPC mode.,325,340.16,0.0,99,1680.0,6.031485284052019,1.3113095238095238,32.13095238095238,0.0,0.0,2020.0,4.0,2.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,4.664615384615392,0.0,22.207621550591327,1.0
1341,Roads & Highways,Ministry of Road Transport & Highways,618240,Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Bewar-naer Karri village section Km0.00 to Km30.00 Pakage-I of NH-92 in state of Uttar Pradesh undergreen national Highway Corridor Project GNHCP with the loan assistance of world Bank on EPC mode.,236,,0.0,100,1427.0,6.031485284052019,1.5437981779957954,54.37981779957954,0.0,0.0,2020.0,4.0,1.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,29.5335085413929,1.0
1342,Roads & Highways,Ministry of Road Transport & Highways,618265,Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Miranpur Katra to radhaita section of NH-730CKm.114.000 to Km 137.250pakage-III in state of Uttar Pradesh undergreen national Highway Corridor ProjectGNHCP with the loan assistance of world Bank on EPC mode.,172,169.56,0.13,92,1561.0,6.031485284052019,1.4112748238308777,49.12748238308777,0.0007558139534883722,0.0013978494623655914,2020.0,4.0,0.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,-1.4186046511627894,0.0,29.139290407358736,1.0
1343,Roads & Highways,Ministry of Road Transport & Highways,618256,"Rehabilitation and Upgradation to 2-lane with paved should ders Sir, configuration of Chaprathipalem to Lambasingi section Km 165500 to Km 205000 of NH-516E in the State of Andhra Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode",311,,211.05,93,1522.0,5.71937029431896,1.3725361366622864,44.25361366622863,0.6786173633440515,2.245212765957447,2020.0,8.0,1.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,21.64914586070959,1.0
1344,Roads & Highways,Ministry of Road Transport & Highways,618257,Rehabilitation and Upgradation to 2-lane with paved shoulders configuration of Koyyuru to Chaprathipalem section Km 120000 to Km 165500 of NH-516E in the State of Andhra Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode,349,,264.86,98,1426.0,5.716632443531828,1.4642356241234222,48.42356241234222,0.7589111747851003,2.6753535353535356,2020.0,8.0,2.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,24.7700394218134,1.0
1345,Roads & Highways,Ministry of Road Transport & Highways,618879,Rehabilitation and Upgradation to 2L PS configuration & Strengthening of Padhar to Bijni section from Km 180.000 to Km 202.815 of NH-154 Pkg-VA,931,930.86,666.12,100,1608.0,3.890485968514716,0.8837064676616916,-11.629353233830841,0.7154887218045113,6.595247524752475,2022.0,6.0,5.0,0.36155202821869487,0.7329192546583851,0.36155202821869487,0.7329192546583851,-0.015037593984960941,0.0,0.0,0.0
1346,Roads & Highways,Ministry of Road Transport & Highways,618878,Rehabilitation and Upgradation to 4L configuration & Strengthening of Sihuni to Rajol from Km 51.000 to Km 72.000 of NH-154 Package-IIA,697,776.59,496.48,99,1289.0,4.120465434633813,1.1675717610550815,17.75717610550815,0.7123098995695839,4.9648,2022.0,3.0,4.0,0.35978835978835977,0.7318840579710145,0.35978835978835977,0.7318840579710145,11.418938307030134,1.0,12.12220762155059,1.0
1347,Roads & Highways,Ministry of Road Transport & Highways,617963,Rehabilitation and upgradation to four lane road from km 70.500 to km 78.600 of NH-92 under EPC mode in the State of Uttar Pradesh,296,351.78,75.38,39,1827.0,4.312114989733059,0.8620689655172413,47.20689655172413,0.25466216216216214,1.8844999999999998,2022.0,1.0,1.0,0.35978835978835977,0.7329192546583851,0.35978835978835977,0.7329192546583851,18.844594594594586,1.0,0.0,0.0
1348,Roads & Highways,Ministry of Road Transport & Highways,617938,Rehabilitation And Upgradation to four lane with paved shoulder configuration from km 24350 to km 61875 Jawale - Borgaon Kale of NH-63 in the State of Maharashtra on EPC mode under Annual Plan 2024-25 Total length - 37.525 Km.,574,,7.54,20,819.0,1.3579739904175223,0.6056166056166056,40.56166056166056,0.01313588850174216,0.35904761904761906,2024.0,12.0,3.0,0.3609154929577465,0.7329192546583851,0.3609154929577465,0.7329192546583851,,,0.0657030223390276,0.0
1349,Roads & Highways,Ministry of Road Transport & Highways,618174,Rehabilitation and Upgradation to two lane with paved shoulder configuration of NH-752G from Sakri to Pimpalner Section Design Ch km 0000 to Ch km 21411 in the state of Maharashtra on EPC Mode. Length 21.411 km.,227,,0.0,100,953.0,2.135523613963039,0.8184679958027282,-18.153200419727185,0.0,0.0,2024.0,3.0,1.0,0.3609154929577465,0.7329192546583851,0.3609154929577465,0.7329192546583851,,,0.0328515111695138,0.0
